objectid,isbn
216094,3558380044857
59294,1616615605
163745,1616619937
163745,1633441210
189035,3558380031062
34843,061517194X
201186,0436506025
5404,1938146468
193322,1617687987
2449,1589940520
3819,1589940377
22884,1589943201
94288,1616611014
95338,1616611022
98113,1616611030
100092,1616611057
102875,1616611065
107933,1616612177
117929,1616612592
119640,1616612606
121900,1616612614
142875,161661885X
142875,161661708X
146574,1616617950
146574,1616618574
158969,1616618612
172680,1633440737
104356,1616612061
110699,161661207X
131339,1616614560
231991,1945625619
168927,1616619945
168928,1616619953
168929,1616619961
169018,1616619988
169020,1633440001
175283,1633441180
175284,1633441202
19736,1589941381
19737,1589941780
148040,1605843598
19739,158994139X
19740,1589941802
19743,1589942221
32666,0978928881
26990,1556347286
29368,0979658500
154086,1938146697
160851,0986287210
35815,0979658535
164153,1616619902
41541,1929780737
89962,1589946987
100527,2914849818
6521,1589941012
6521,1589942388
150811,1589934342
146418,1616617675
123844,1938146840
46807,159472122X
10547,0786957174
10547,B003HC9734
9962,1556347286
10559,0974933007
12875,189302850X
33150,1600820883
194232,1617686271
116951,0984608044
41636,1594721033
254681,1988884632
236191,1472822226
161928,0906228484
40090,1933318643
95683,1589949986
22980,1932947507
22821,1589942558
226176,5060523340248
823,3440686914
589,161661238X
589,1588464709
104710,161661238X
104710,1588464709
2883,0932592945
96152,1582369542
91872,0786958731
18898,1556347472
28327,1556347642
31847,1556347731
38538,1556347804
255332,491082586X
42131,1841549223
214293,3760175513749
10523,0965869490
154419,161661742X
105,158994156X
5737,3440692612
95103,0984608028
151007,1601256477
156091,1940825237
182694,3558380042259
160425,1616619252
174565,1633440745
176058,1633440753
177608,1633440761
178862,163344077X
180695,1633440788
192661,3558380037156
245638,4061897501106
216465,3558380047308
217780,1947941143
75996,1589949153
192619,0648048357
13879,0972389725
54743,1933318783
54745,1933318872
61474,1933318287
102104,1936112191
200057,1938146352
261342,1947941070
319966,147283660X
4977,1555603785
12039,1589780604
20437,1569051453
22827,1589943252
163602,1616619686
189932,1940825857
125618,2914849877
179303,1938146522
43539,1589946782
128137,0985914831
146757,1616616741
136117,1617682454
67239,1569052271
127437,156905276X
143948,1569052824
594,0972819762
147736,1940825008
193949,1940825911
159508,1938146603
37358,0981576559
191051,3770004610068
28259,0982727976
93537,1903980720
20436,1601250258
23304,0985640502
25609,1589943368
25609,158994335X
38703,1588464571
171630,161661434X
12761,1887953558
163107,5425016922903
221805,8435407617582
128931,1938146913
139030,5425016921517
268605,1841549185
35052,0786948825
55829,0786948825
142992,1617682934
206803,0571327362
206803,1464047227
206803,9789351776161
206803,9351776166
206803,043960737X
153235,1616619287
2338,3440689417
9203,156076869X
268608,1841549568
268684,184154986X
268685,1841549967
268686,1907964118
268692,1782530533
166326,1616619589
82168,9781472817730
82168,1472817737
180899,1938146379
167444,1616619643
157135,0989829510
104994,1555604560
162355,161661949X
163340,1616619503
166897,161661952X
168677,1616619538
170276,1616619546
174560,1633441393
121,1947494503
283355,1947494503
4671,1556343388
12333,3941976583
40834,4042677014023
14535,1556347383
226910,1945625600
57940,1589946707
58157,158994688X
61739,158994710X
63787,1589948416
268326,1872372694
64651,1589947223
65217,1589947304
69881,1589949145
72322,1589949137
73150,1589949420
83194,158994917X
85637,1616610263
90489,161661028X
95624,1616610891
96654,161661031X
98764,1616611448
108809,1616611480
114678,1616613637
127668,1616615125
132208,161661515X
143775,1616617640
18622,1589942302
18623,1589942299
18624,1589942280
18625,1589942272
18627,1589942256
21405,1589942450
23510,1589943171
23511,1589943171
23511,158994318X
23512,1589943155
28870,1589943457
28871,1589943465
28873,1589943481
28875,158994349X
70230,1589946456
223931,2370990090
123847,1616612312
182189,4010350101711
31483,1589946715
156737,1631400916
197519,194082592X
197520,1940825938
253926,194562504X
38765,0984155899
147116,1616619163
