gameid,url,price,currency,enabled,show_from
320737,https://jandjgamingfactory.com/products/railroad-ink-electricity-expansion-pack?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,9.87,USD,1,1
320732,https://jandjgamingfactory.com/products/railroad-ink-underground-expansion-pack?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,9.87,USD,1,1
320735,https://jandjgamingfactory.com/products/railroad-ink-futuristic-expansion-pack?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,9.87,USD,1,1
374562,https://jandjgamingfactory.com/products/star-wars-shatterpoint-core-set?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,125.39,USD,0,1
24310,https://jandjgamingfactory.com/products/the-red-dragon-inn?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,28.84,USD,0,1
370964,https://jandjgamingfactory.com/products/steven-rhodes-lets-call-the-exorcist?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.19,USD,0,1
370962,https://jandjgamingfactory.com/products/steven-rhodes-cryptozoology?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.19,USD,1,1
370963,https://jandjgamingfactory.com/products/steven-rhodes-living-well?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,15.19,USD,1,1
263918,https://jandjgamingfactory.com/products/cartographers-a-roll-player-tale?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,18.96,USD,1,1
319274,https://jandjgamingfactory.com/products/cartographers-map-3-undercity?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,7.56,USD,1,1
319272,https://jandjgamingfactory.com/products/cartographers-map-1-nebblis?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,7.56,USD,1,1
367047,https://jandjgamingfactory.com/products/caldera-park?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,30.39,USD,0,1
299592,https://jandjgamingfactory.com/products/beez?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,30.39,USD,0,1
312767,https://jandjgamingfactory.com/products/lizard-wizard?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,37.99,USD,0,1
310632,https://jandjgamingfactory.com/products/dice-miner?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,26.56,USD,0,1
251678,https://jandjgamingfactory.com/products/railroad-ink-blazing-red-edition?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,17.47,USD,0,1
382016,https://jandjgamingfactory.com/products/sea-of-thieves-voyage-of-legends?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,45.56,USD,0,1
366790,https://jandjgamingfactory.com/products/dawn-of-ulos?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,53.16,USD,1,1
342942,https://jandjgamingfactory.com/products/ark-nova?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,56.96,USD,1,1
30549,https://jandjgamingfactory.com/products/pandemic?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,34.19,USD,1,1
255984,https://jandjgamingfactory.com/products/sleeping-gods?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,75.99,USD,1,1
382927,https://jandjgamingfactory.com/products/descent-legends-of-the-dark-the-betrayers-war?utm_source=boardgamegeek&utm_medium=referral&utm_campaign=buy_a_copy,121.59,USD,0,1
