objectid,mfgid
43842,DGA070
43842,2009H
43842,CHA23106
43842,23106PDF
43842,23106
43842,1
43842,23126
43842,2396
43843,BPG0001
43843,BPG001
43844,XRP8001
43846,LFSA001
43846,"DCR100266 1"
43846,1
43847,2101-X
43847,2101-X-PDF
43847,2006-X
43848,EDN6000
43849,cb601a
43849,BOX0316
43849,CB75300
43849,SP007
43849,BOX317
43850,TID002
43850,Dread-1
43851,"GHQ 4000"
43852,"GHQ 2000"
43853,2110
43853,800
43853,2110PDF
43854,2701-X
43855,"MWP-1019 CE"
43857,40001
43857,11-001
43858,40120
43859,WEG40093
43859,40002
43860,40076
43861,40092
43862,40071
43863,40123
43864,40114
43865,ANV2000
43866,#02-107
43866,02-107
43867,AEFNB100
43870,02-201
43874,ANV3000
43875,ANV1000
43876,ANV0009
43877,NB2002
43881,ASM-020
43886,BPG003
43886,BPG0003
43887,BPG0004
43895,IPRCRN2
43901,EHP7002
43901,EHP7002E
43902,"EHP 1000"
43903,ICE5103P
43903,GCP-ICE-5103
43903,5103
43905,"EHP 1001"
43907,2020
43908,SJG3324
43908,6660
43908,SJG30-3301
43908,SJG3301
43908,01-6131C
43908,1501
43911,2018
43911,TSR2018
43913,2100
43913,"GDW 2100"
43914,7005
43915,7009
43917,HRG3100
43917,"HG 10001"
43918,6022G
43918,30-6031
43918,SJG6031-3E
43918,6022
43918,SJG30-6031
43918,LF00101
43918,6031
43919,31-0001
43919,01-0001
43920,31-0002
43920,01-0002
43923,2013XXX7301
43923,TSR2013
43923,"TSR 2013"
43923,2013
43924,"BG 8001"
43925,2023
43925,"TSR 2023"
43928,01-1002
43929,01-1001S
43929,01-1001
43930,SJG31-0101
43930,01-0101
43930,01-0101S
43931,2019
43932,8474
43932,WTC11857
43932,DD1011
43932,620T11857001EN
43933,8472
43933,WTC11840
43934,WEG20559
43936,20525
43937,20575
43937,WEG20575
43938,ADM3024
43939,"ADM 3200"
43940,CP3101
43940,#4400
43941,20506
43943,20511
43944,MGP4013
43945,20509
43945,C0076
43946,"WEG 20505"
43947,20512
43948,AG0201PDF
43948,"LR 201"
43954,2009-X
43955,40116
43958,7703
43959,40080
43960,7711
43961,40107
43962,40153
43964,7702
43965,40141
43966,7701
43967,40154
43968,"AM 08011"
43970,40022
43971,40021
43972,EDG4000
43972,AG4000
43972,"DAE 1400"
43974,2001
43975,CP3201
43985,35000
43985,VIC35000
43985,35002
43986,2013
43987,35010
43988,#5001
43988,5001
43990,#4003
43990,"CP 3301"
43992,5002
43995,FRD1001E
43996,GG0005
44000,GFG1001E
44000,GFG1001
44001,GAW2010306
44002,GFG1003E
44004,2007-X
44005,299
44008,WW17000
44008,LFEN001
44010,101
44012,MFG245
44013,GNF1002
44016,206
44018,212
44019,WW3600
44019,"WW 3600"
44020,246
44022,30020
44023,404
44023,407
44027,406
44027,403
44028,HJPBHB01
44028,CB77600
44031,12001
44031,010397
44032,ICE5010
44034,DD1000
44034,"620A0242000001 EN"
44034,175240000
44034,WOC17524
44034,6501
44034,62017542001EN
44034,179230000
44034,FS30001
44034,8437
44035,IPRII4
44037,6502
44037,953897200
44037,02440000
44037,DD1001
44037,62095389720001EN
44037,KA752146
44037,177520000
44037,FS30002
44038,6503
44038,DF177550000
44038,177550000
44038,02430000
44038,DD1002
44038,ΚΑ752153
44038,953907200
44038,"620A0243000001 EN"
44038,FS30003
44039,"TSR 9147"
44039,WOTC2ETOEE
44039,9147
44040,RTG3401
44041,9177
44043,9198
44046,SLP1000
44047,"DPI 1001"
44049,450
44049,4500HC
44049,450HC
44050,2102
44050,"GDW 2102"
44051,MMT3000
44052,9222
44052,"TSR 9222"
44053,2111
44053,"GDW 2111"
44055,ADC
44055,2336
44055,2376
44055,CHA2336-5E
44055,2386
44055,ZCW55
44055,2350
44055,4001G
44055,CHA2336-52
44055,LF401
44056,9406
44058,MSL77001
44059,9506
44059,"TSR 9506"
44061,MUM40001
44063,2112
44064,"GDW 2106"
44064,2106
44065,"GDW 2104"
44065,2104
44066,2101
44066,"GDW 2101"
44067,2103
44067,"GDW 2103"
44068,2107
44068,"GDW 2107"
44069,"GDW 2114"
44069,2114
44070,"GDW 2109"
