objectid,isbn
43720,8478311114
43720,0915795302
43723,978-0786928767
43723,078692876X
43723,8495712253
43724,0786917946
43724,978-0786917945
43725,0915795086
43726,BOX0001
43727,978-1931567817
43727,1931567816
43731,1934547069
43731,9781934547069
43738,1558060693
43738,8478311491
43743,1558060839
43743,3892601240
43744,0915795876
43744,8478310649
43744,9788478310647
43744,3-89260-116-X
43745,978-8881410118
43745,1558060324
43746,8478310770
43746,9788478310777
43746,091579540X
43747,0915795213
43749,9788478310807
43749,8478310800
43749,0915795205
43750,978-1585641079
43751,8478311505
43751,1558060723
43751,9788478311507
43752,978-8478310395
43752,8478310398
43752,0915795353
43752,3892601119
43754,0874311209
43755,1558062343
43755,8478311602
43756,9781558060456
43756,1558060456
43757,0945571976
43758,1558060480
43761,"No ISBN"
43765,1558062025
43767,978-1887911047
43767,1589940342
43767,1887911047
43768,1589940334
43768,978-1887911054
43768,1887911054
43768,978-1589940338
43770,1589940032
43771,1-887911-44-8
43771,1887911448
43772,1887911324
43773,1887911111
43778,978-0786930548
43778,0786930543
43779,0786918594
43780,0786928883
43780,978-0786928880
43781,978-0786928927
43781,8496422054
43781,0786928921
43783,978-0786931330
43783,0786931337
43786,1844162214
43786,2952172811
43786,3937255451
43786,9783937255453
43786,1844163024
43786,1844162206
43786,8886149840
43786,9782915989083
43786,8386758604
43786,9781844162208
43787,978-1844162680
43787,8495830809
43787,978-3937255903
43787,3937255907
43787,1844162680
43787,978-2915989229
43788,1844162664
43788,978-1844162666
43788,849583071X
43788,2915989133
43790,2952172838
43790,978-8886149859
43790,1844162648
43790,8386758635
43790,9781844162642
43793,0786927771
43793,978-0786927777
43794,0935696237
43795,978-1585641390
43797,0975888900
43798,0975888943
43804,978-8493935184
43804,9788895718019
43804,978-3957520821
43804,9788364805271
43804,0976904209
43807,978-1844163113
43807,1844163113
43807,978-2915989519
43808,849583085X
43808,978-8386758821
43808,978-1844162673
43808,8386758821
43808,1-84416-267-2
43808,978-2915989212
43808,978-1-84416-267-3
43809,2915989141
43809,84-95830-78-7
43809,978-8889926093
43809,8386758746
43809,978-1844162659
43809,3937255753
43809,1844162656
43809,978-3937255750
43810,8886149921
43810,978-1844162260
43810,3937255540
43810,2952172854
43810,978-2915989359
43810,84-95830-68-X
43810,978-3937255545
43810,1844162265
43811,9788493935160
43811,0977153401
43811,978-8890377495
43814,978-8895718934
43814,978-2919680009
43818,188792003X
43820,0812828623
43822,9780979636110
43823,978-1588464743
43824,1894938011
43827,0786927828
43828,9788882882280
43828,0786950021
43828,978-2357830196
43828,8882882284
43828,978-0786950027
43829,078691792X
43829,0786919906
43830,3-93661-301-x
43830,978-0982242117
43830,978-3936613018
43830,978-8416780235
43831,9780981666327
43832,978-8882882235
43832,978-0786949809
43832,0786949805
43832,2357830131
43833,078695101X
43833,978-0786951017
43834,0786951397
43834,978-8882882372
43834,978-0786951390
43834,0-7869-5139-7
43834,978-0-7869-5139-0
43835,9780786952427
43835,0786952423
43836,978-0786960590
43836,978-8882882310
43836,0-7869-5069-2
43836,978-0-7869-5069-0
43836,0786950692
43837,9788388916786
43837,0786918454
43837,3933171482
43837,8388916785
43837,9639474703
43837,8882880443
43838,9639474584
43838,0786926538
43838,8495712172
43838,978-8495712172
43838,3933171512
43839,3890647731
43839,978-1-934857-42-7
43839,978-0979204784
43839,4775309897
43839,978-1934857311
43839,2-915847-14-2
43839,9784775305423
43839,097920478X
43839,9783939794868
43839,9783890647753
43839,4775305425
43839,978-3-939794-82-0
43839,978-3890647739
43839,1932564667
43839,9781932564662
43839,3890647758
43839,978-4775309896
43839,-9782915-847147
43841,3957522528
43841,978-3957522528
43841,1929474504
43842,978-1568821733
43842,978-8873900580
43842,1568822065
43842,978-8363022006
43842,1568821735
43842,978-1568823546
43842,9784938461928
43842,8873900585
43842,978-1568821818
43842,1568821816
43842,978-2917994009
43842,1568823541
43842,978-1568822068
43846,1582369518
43846,8882880605
43846,978-8882880606
43846,3930635863
43846,2841881393
43846,8484216543
43846,9788484216544
43848,1891153889
43849,978-0955994500
43849,9788564156043
43849,978-8890489051
43849,978-1907204104
43849,9788493935146
43849,978-8493935146
43850,978-8831382038
43850,0979237602
43850,978-0979237607
43850,9786155994081
43850,978-3963780004
43851,0975888951
43852,0975888927
43853,8478310363
43853,978-0933635661
43853,0933635664
43854,3890642004
43854,2070520382
43855,9781931567794
43855,978-1931567794
43857,3980185095
43857,290478357X
43857,0874310652
43857,8478310215
43857,978-3980185097
43858,087431268X
43858,2740801491
43859,0874310660
43859,978-8478310227
43859,2904783695
43859,0874312116
43859,8478310223
43860,0874311985
43861,0874312108
43862,0874311942
43863,0874312817
43864,0874312744
43865,978-0975490631
43865,978-0975490648
43866,1894525078
43870,1894525450
43874,9780975490655
43874,978-0975490655
43875,0975490605
43876,0-9754906-2-1
43877,978-0806527963
43877,080652796X
43880,978-9529941452
43886,978-1934859049
43900,978-1934859063
43901,978-8890377464
43901,978-8494371592
43901,978-0977153466
43902,978-0977153428
43902,978-1470933036
43902,9788360525180
43902,9788493935122
43902,978-8890377402
43903,1558061258
43905,978-0977153435
43905,978-8890377440
43905,978-8494435218
43906,9780977153411
43907,2020
43907,0880382910
43908,8390718405
43908,978-8478310913
43908,8478310916
43908,1556342810
43908,1556349742
43908,978-1556349744
43908,392680114X
43908,978-1556344480
43908,1556344481
43911,0880380993
43913,1558780769
43914,(delete)
43914,2370009127335
43914,0880389761
43914,978-0880389761
43915,0880389753
43917,0937279870
43917,1583660186
43918,155634127X
43918,978-1556348266
43918,1556343574
43918,1556341598
43918,8488966040
43918,3930635441
43918,978-1556343575
43918,1-55634-127-X
43918,393063500X
43919,978-1556347290
43919,1556347294
43919,978-1-55634-729-0
43919,9781556347290
43920,155566347308
43920,9781556347306
43920,978-1-55634-730-6
43920,1556347308
43920,978-1556347306
43923,4636302013
43923,0935696229
43923,0880380500
43924,0937279803
43925,0880386495
43928,978-1-55634-797-9
43928,1556342454
43929,978-1556347962
43929,1556345194
43930,9788988060124
43930,1556347332
43930,978-1556347955
43931,0880382724
43932,9788374180009
43932,0786918578
43932,8495712156
43932,3933171490
43932,978-8495712158
43932,8374180005
43932,978-0786918577
43932,9639474428
43932,8882880451
43933,3933171458
43933,9788495712103
43933,8495712105
43933,0786918403
43933,9639474487
43933,8882880370
43933,9788388916946
43933,8388916947
43934,087431318X
43934,978-2740800362
43934,2740800363
43934,978-0874313185
43936,0874313562
43937,0874313376
43940,2906897213
43940,8488765118
43940,0937279064
43941,274080010X
43941,0874313058
43943,0-87431-324-4
43944,1903980844
43945,4883172325
43945,0874313082
43945,978-0874313086
43945,2-7408-0060-6
43946,087431304X
43947,0874313295
43955,087431299X
43959,0874312213
43961,0874312248
43962,087431500X
43965,0874315085
43967,0874315034
43968,737216080112
43968,0937279927
43970,0874311365
43971,0874311241
43972,1887801766
43972,9781888335002
43972,1888335009
43972,8495830043
43975,0937279072
43975,8488765169
43985,0912515023
43985,0912515007
43985,8478310290
43985,2904783644
43987,0912515104
43988,0920711006
43990,0937279080
43992,0920711146
43996,978-1887920025
44004,093363501X
44005,0923763082
44008,9788498001341
44008,1588461238
44010,0425108775
44012,0923763023
44016,0912771402
44018,0-912771-51-8
44019,8386572701
44019,3931612198
44019,1565041127
44020,0923763031
44022,0874310431
44023,0916211029
44027,0916211037
44028,9780982284902
44028,9780857440839
44031,1869893018
44032,0915795191
44034,0786928867
44034,3933171547
44034,978-8495712967
44034,0-7869-4192-8
44034,978-0786928866
44034,0786962461
44034,978-0786962464
44034,0786934328
44034,8882880672
44034,9788374181079
44034,8374181079
44034,978-0786934324
44034,5170337736
44034,8495712962
44034,3937255516
44034,978-3937255514
44037,837418115X
44037,978-0786962457
44037,9608752140
44037,0786928891
44037,978-0786939428
44037,3937255265
44037,8882880680
44037,9789608752146
44037,0786939427
44037,9788374181150
44037,0786962453
44037,978-0786928897
44037,8496262073
44038,978-9608752153
44038,3937255273
44038,978-0-3943-5
44038,8882880699
44038,0-7869-2893-X
44038,0786962445
44038,978-0786962440
44038,8496262154
44038,978-0-7869-2893-4
44038,0-7869-3943-5
44038,2847850341
44039,0880380187
44040,0-937279-10-2
44040,978-0937279106
44040,0937279102
44041,0880383194
44043,0880383968
44046,9781495254888
44047,978-1892886026
44047,1892886022
44049,978-1754572827
44049,1574572822
44049,978-0916211912
44049,0916211916
44050,1-55878-084-X
44050,155878084X
44051,978-8416780488
44051,978-2381770314
44052,0880385308
44053,1558781242
44055,1568821344
44055,96346850
44055,9781568821481
44055,8386572191
44055,3930635143
44055,2740800509
44055,978-0933635869
44055,0933635869
44055,1568821484
44055,8386572353
44055,8495024330
44055,3930635690
44055,2740802072
44055,978-1568820149
44055,8498002982
44055,1568820143
44055,8478311556
44056,156076631X
44056,978-1560766315
44058,0979842204
44058,978-0979842207
44059,0786903252
44063,1-55878-125-0
44064,1-55878-105-6
44064,1558781056
44065,1558780971
44066,1558780807
44067,1558780866
44067,1-55878-086-6
44068,1558781072
44069,1558781374
44070,1558781145
44071,1558781102
44072,1892886030
44073,1892886057
44074,978-1892886064
44074,1892886065
44075,1892886073
44075,978-1892886071
44077,978-1904854265
44077,1904854265
44078,1565042751
44078,978-8488966247
44078,3931612198
44079,9639474312
44079,8882880354
44079,8495712075
44079,393317144X
44079,978-8495712073
44079,0786918292
44081,394534212X
44081,905248001X
44081,0935696482
44081,0880380055
44081,9788274650015
44081,8798305700
44081,0951144405
44081,0880383380
44081,8274650018
44082,0937279587
44082,8386758074
44083,978-1556347702
44083,9781556347702
44084,0880380985
44085,978-1556347535
44085,978-1556347993
44086,0880380888
44087,0935696474
44087,0880380063
44087,0394515471
44087,9052480044
44087,3890840035
44087,0935696199
44088,1887801391
44088,978-1887801393
44090,0874316286
44090,0874316251
44091,1-55634-734-0
44092,0880380535
44092,389084006X
44092,093569630X
44092,"TSR 9043"
44093,087431223X
44093,847831681
44094,0874310520
44095,0-87431-062-8
44096,0-87431-046-6
44097,0874312019
44097,8478311625
44098,0874312043
44099,8478311041
44099,0874312035
44100,0874312027
44100,8478311017
44101,0935696326
44101,3890840450
44102,0935696148
44103,0874312590
44104,2890840043
44104,0880380322
44104,0935696318
44105,0880381078
44106,1560762713
44106,8446802031
44107,1903980925
44108,1903980976
44109,190457713X
44110,904577199
44111,1904577423
44112,1556347421
44112,978-1556347429
44113,1904577385
44114,1904577547
44114,978-1904577546
44115,2921573032
44116,8496262960
44116,978-8496262966
44116,1904577245
44117,978-0880387163
44117,8386187735
44117,8446800187
44117,978-080880387163
44117,0951144421
44117,0880387165
44117,0951144480
44117,0951144428
44118,2921573121
44118,978-2921573122
44119,0874315026
44121,1891153978
44122,978-0786931354
44122,0786931353
44124,0874312914
44127,0874311128
44128,978-0786932801
44128,0786932805
44129,0935696245
44130,088038185X
44131,0880382392
44132,978-1588460745
44132,1588460738
44132,3935282702
44134,0874312825
44137,0874310911
44137,8478310401
44139,3942012690
44139,1588460738
44139,9781588460738
44139,3935282478
44139,978-3942012690
44140,0874311055
44140,8478310533
44142,978-3935282468
44142,158846122X
44142,393528246X
44145,0-78690-417-8
44146,9129572835
44146,9511097016
44146,9788721021559
44146,0-14-031538-1
44146,9788366526020
44146,3551357390
44146,1840463872
44146,9035101456
44146,2075100640
44146,9789722207157
44146,82-574-0397-0
44146,8721021554
44146,8585238186
44146,8437220491
44146,978-8589134385
44146,978-3551357397
44146,9789129572834
44146,978-2075100649
44146,0140315381
44146,1840465212
44146,3442242002
44146,9631415791
44146,978-1840468-37-3
44146,978-1848310759
44146,978-1407181301
44146,3-522-13610-1
44146,1848310757
44146,2070332527
44146,1407181300
44146,0000000805735
44146,9782070647408
44146,8741871685
44146,0440993814
44147,8741871693
44147,3522138600
44147,8585238135
44147,978-1848310766
44147,1407181257
44147,0440912806
44147,2070332683
44147,0-14-031603-5
44147,1407181254
44147,8721021562
44147,9129572878
44147,9511097571
44147,978-1407181257
44147,0140316035
44147,1840463899
44147,9035101464
44147,9789129572872
44147,2075100691
44147,8437220505
44147,1848310765
44147,9788721021566
44147,9630278855
44147,978-2075100694
44149,978-2075100748
44149,843722070X
44149,1849464291
44149,978-1407181288
44149,3-442-24202-9
44149,9035102177
44149,2070647420
44149,0-14-031604-3
44149,0440926793
44149,978-2070647422
44149,2070332691
44149,1407181289
44149,0140316043
44149,978-1848312210
44149,9129572916
44149,9511097024
44149,978-9129572919
44149,3522139003
44149,978-8328089709
44149,8870681408
44149,2075100748
44149,8741871677
44150,8741871707
44150,1840465522
44150,0-14-031637-X
44150,014031637X
44150,2070332705
44150,9035102185
44150,9789129577945
44150,0440982413
44150,9129577942
44150,3522139909
44150,9511102117
44151,2075100799
44151,0-14-031645-0
44151,184046397X
44151,2070332713
44151,9637485163
44151,978-2075100793
44151,0140316450
44151,917940006X
44151,8585238232
44151,978-1848311138
44151,0440913748
44151,1848311133
44151,1407181262
44151,8741875168
44151,8437220904
44151,9511102125
44151,978-1407181264
44151,3522160509
44151,9035103432
44152,014317082
44152,2070332721
44152,9789179400101
44152,2075132291
44152,0-14-031708-2
44152,9179400108
44152,9631414671
44152,978-1407181271
44152,0440917174
44152,3522160800
44152,1848310773
44152,978-1848310773
44152,0140317082
44152,8437220912
44152,"9 780140 317084"
44152,1407181270
44152,978-2075132299
44152,8741882210
44152,1840463880
44152,9035103440
44152,978-8589134422
44153,978-1407186207
44153,9630271621
44153,352216220X
44153,8741875648
44153,978-2070332670
44153,1407186205
44153,8437220920
44153,0140317430
44153,2070332675
44154,0915795280
44155,0140318291
44155,8437220939
44155,3522162307
44155,0440976766
44155,9630274639
44155,3-442-24208-8
44156,3522162609
44156,8741880943
44156,9630282364
44156,207033287X
44156,0140318305
44156,2075132348
44156,1840464321
44156,978-2075132343
44157,0935676962
44158,1840464178
44158,2075100845
44158,978-2070332861
44158,0440936861
44158,1407182005
44158,978-1848311220
44158,0140318313
44158,1848311222
44158,978-8366526037
44158,3522162706
44158,2070332861
44158,978-1407182001
44158,8741882202
44158,9637485295
44158,978-2075100847
44159,2070332896
44159,0140318593
44159,978-1840465662
44159,0440985153
44159,1840465662
44159,3522164601
44159,8741885163
44159,9630285258
44160,2070332985
44160,0140318615
44160,0440981492
44161,0880384867
44162,1840465654
44162,0440927153
44162,9631415783
44162,0-14-031710-4
44162,2070333264
44162,8437221250
44165,0440985900
44165,9637485155
44165,0-14-031832-1
44165,1-84046-528-X
44165,3522165101
44165,0140318321
44165,"1 84046 528 X"
44165,2070333116
44166,1558063706
44167,2070333329
44167,0440974070
44167,3442242185
44167,3522166205
44167,0140318607
44168,9630280485
44168,352216640X
44168,2070333507
44168,0140319514
44169,3890647006
44169,8487423744
44169,1555601960
44169,1555601804
44169,9638545402
44169,978-8487423741
44170,2070333353
44170,1840465271
44170,9780140319224
44170,0-14-031922-0
44170,1407186175
44170,0140319220
44170,978-1407186177
44170,0440902584
44171,0-14-031952-2
44171,2070333361
44171,0440973600
44171,0140319522
44171,8741880951
44172,3522142403
44172,2070333620
44172,0140319212
44172,3442242053
44173,0952217600
44173,978-0995649705
44174,2070334147
44174,9637485198
44174,1840467320
44174,3522142500
44174,0140320873
44175,1588464865
44176,0-14-032039-3
44176,8741886895
44176,963028524X
44176,0140320393
44176,0440986893
44176,207033385X
44176,3522142802
44177,1880992566
44178,1588464784
44179,1588464792
44179,978-1588464798
44183,978-8882881115
44183,1588462471
44183,9788498000894
44183,393725532X
44183,9788575322918
44183,1-58846-247-1
44183,978-1588462473
44187,8487423841
44187,9780962779060
44187,978-8487423840
44187,0962779067
44190,1565040651
44191,156504133X
44192,1.82
44192,1565047001
44192,3931612120
44195,978-1556347627
44196,393161283x
44196,1565047354
44196,1200003158
44196,84-8421-132-0
44197,9781556347580
44197,978-1556348099
44198,1891153188
44198,978-1891153181
44199,0976360160
44200,978-1889546575
44200,1889546577
44201,0966476514
44201,1565045904
44202,3935282389
44202,158846203X
44203,1565045858
44203,0966476522
44205,1588467503
44205,3935282915
44206,1887953095
44206,8484211231
44206,963-9474-60-6
44206,3929875705
44207,1588466000
44208,3929875713
44208,1887953043
44208,9639474959
44208,84-8421-124-8
44209,8478310959
44209,1558061347
44210,3929875721
44210,72922073001
44211,1558060421
44213,978-3929875751
44213,3929875756
44215,3929875780
44216,0970917600
44217,978-3929875768
44217,188795306X
44217,3929875764
44219,3929875829
44220,1887953175
44220,3929875594
44221,9781588463623
44222,1588464911
44222,978-1588464910
44222,9781588464910
44223,1588464903
44223,978-1588464903
44224,0940244004
44224,978-8804308072
44224,8804308079
44224,0552127647
44225,1887953248
44225,3929875675
44226,9781588464934
44226,978-1588464934
44227,1588464849
44227,8575322311
44227,84-9800-088-2
44227,978-1588464842
44227,837418176-1
44227,3937255311
44227,1588464768
44229,1887953299
44229,978-3929875607
44229,3929875608
44230,8427232314
44230,978-0340377871
44230,0340377879
44230,1909905100
44230,2070333736
44230,978-8870681734
44230,"	9178980232"
44230,8870683249
44230,978-1909905108
44231,9178980283
44231,978-2070333905
44231,9789178980284
44231,8427232330
44231,0340377895
44231,9788847720039
44231,2070333906
44232,9789178980352
44232,8427232344
44232,034038848X
44232,978-2070333912
44232,2070333914
44232,9780340388488
44232,9178980356
44233,0923763554
44234,887068461X
44234,9178980488
44234,0340394404
44234,2070334279
44234,0425113116
44235,0340406011
44235,978-2070334704
44235,2070334708
44236,978-3-92987-574-4
44236,3-92987-574-8
44237,3929875799
44238,0340377887
44238,2070333728
44238,8427232314
44238,9788847720022
44238,9178980224
44239,978-3929875829
44239,3929875829
44239,1887953086
44240,1887953221
44241,978-1588463685
44241,1588463680
44243,1887953256
44243,978-3929875690
44244,1887953310
44246,1565042328
44246,3931612694
44247,3933513014
44247,8488966970
44247,838796851X
44247,1888906006
44248,84-8421-160-6
44248,1888906030
44254,0935696083
44255,207033404X
44255,0140321527
44257,0935696091
44258,9781888906080
44258,84-8421-991-7
44258,8888638091
44258,1888906081
44259,3522147502
44259,0140321543
44259,2070334716
44259,8741885171
44259,9637485341
44260,0935696105
44262,0935696059
44263,0140320407
44263,978-1848311121
44263,2070334155
44263,8448036085
44263,978-8383181967
44263,8741884272
44263,978-1407186184
44263,1407186183
44263,978-0743479981
44263,1848311125
44263,074347998X
44263,978-2075138222
44263,2075138222
44265,0140322388
44265,2070334171
44266,0935696067
44267,1888906022
44267,84-8421-002-2
44268,0935696075
44270,978-2070334742
44270,1840463961
44270,0140321551
44270,0-14-032155-1
44270,8741884264
44270,20700334740
44272,0935696121
44272,393317127X
44272,0394511832
44273,2070334732
44273,978-2070334735
44273,0140322655
44273,0-14-032265-5
44274,8888638016
44274,1888906111
44274,84-8421-003-0
44275,1888906057
44276,978-02070333837
44276,8741886887
44276,2070333833
44276,0-14-032411-9
44278,1888906073
44278,84-95024-29-2
44279,8741888464
44279,2070335224
44279,0140323783
44281,8741858530
44281,2070335127
44281,0-14-032475-5
44282,2070335062
44282,8741888472
44282,0-14-032412-7
44288,8478310363
44288,9788478310364
44288,0933633435
44289,0786912278
44289,978-0786912278
44290,9780979245541
44290,978-8898955398
44291,2070335402
44291,978-2070335404
44291,8741889204
44291,0-14-032548-4
44292,2070335291
44292,0140326014
44293,978-2070335305
44293,8741859375
44293,0-14-032658-8
44293,2070335305
44294,978-2070335923
44294,2070335925
44294,014032675-8
44294,0-14-032675-8
44294,8741857178
44295,2070335860
44295,978-1848312340
44295,0-14-032486-0
44295,8741859944
44295,1840464364
44295,978-1840464368
44296,2922071004
44297,0874313546
44298,014032839
44298,2070335852
44298,0-14-032839-4
44300,0140328777
44300,978-0140328776
44300,8741859952
44300,2070335848
44301,0874313090
44301,2740800029
44302,0-14-032935-8
44302,9780140329353
44302,2070335933
44302,978-2070335930
44303,0-87431-353-8
44304,978-2070335647
44304,014034456X
44304,2070335941
44305,0140340106
44305,2070336077
44305,978-2070336074
44306,9780140340570
44306,2070566048
44306,978-2070566044
44306,0140340572
44307,2740800215
44307,0874313074
44309,0140341374
