objectid,upc
43372,783324956504
43688,783324953091
46223,653569413516
46231,653569413530
46232,653569413547
46249,046363024000
47927,783419268895
47927,787799925195
50985,783324811001
61443,653569415381
61444,653569415398
61445,653569415497
61446,653569415510
61448,653569415541
62447,783324808391
76155,777904354590
76157,787799448649
86059,001589947045
88012,000954752635
122666,001594591318
234669,841333104085
